site,min_level,max_level,level_difference,slope,slope_per_year,num_years,status
Site_2763,-177.34,-23.53,153.81,-0.39877151660774507,-1.2863597309927262,31,falling
Site_2764,-206.27,-47.81,158.46,-0.4291061048958542,-1.3842132415995299,31,falling
Site_2765,-233.83,-72.82,161.01000000000002,-0.43933322110160555,-1.4172039390374371,31,falling
Site_2766,-179.36,-43.26,136.10000000000002,-0.36950629007820524,-1.1919557744458233,31,falling
Site_2767,-212.15,-56.26,155.89000000000001,-0.4493043316345531,-1.4493688117243646,31,falling
Site_2768,-195.71,-43.46,152.25,-0.39861022431041226,-1.2858394332593945,31,falling
Site_2769,-204.09,-36.74,167.35,-0.506572440478923,-1.6341046467062035,31,falling
Site_277,-224.02,-71.05,152.97000000000003,-0.4511107293531882,-1.4551959011393167,31,falling
Site_2770,-221.73,-61.14,160.58999999999997,-0.43899574539722375,-1.4161153077329798,31,falling
Site_2771,-223.43,-42.16,181.27,-0.502731523851793,-1.6217145930703,31,falling
Site_2772,-154.31,-36.24,118.07,-0.3126881258831875,-1.0086713738167339,31,falling
Site_2773,-188.23,-31.4,156.82999999999998,-0.4165572356305128,-1.3437330181629443,31,falling
Site_2774,-217.35,-62.92,154.43,-0.43637447136305463,-1.4076595850421116,31,falling
Site_2775,-234.74,-63.61,171.13,-0.4979319442106282,-1.6062320780988006,31,falling
Site_2776,-251.58,-64.28,187.3,-0.5040937441014577,-1.626108851940186,31,falling
Site_2777,-196.99,-45.46,151.53,-0.3964800227524325,-1.2789678153304274,31,falling
Site_2778,-180.43,-56.08,124.35000000000001,-0.33690906424246136,-1.0868034330401979,31,falling
Site_2779,-199.8,-35.17,164.63,-0.47567444636598755,-1.5344336979547986,31,falling
Site_278,-193.97,-41.18,152.79,-0.43279983471327327,-1.396128499075075,31,falling
Site_2780,-200.12,-56.9,143.22,-0.40922471342648564,-1.3200797207305988,31,falling
Site_2781,-181.82,-23.71,158.10999999999999,-0.4411751733214979,-1.4231457203919287,31,falling
Site_2782,-200.42,-72.44,127.97999999999999,-0.368703047601557,-1.1893646696824418,31,falling
Site_2783,-213.38,-57.8,155.57999999999998,-0.4160984552833086,-1.3422530815590599,31,falling
Site_2784,-157.49,-24.72,132.77,-0.3527354137014533,-1.1378561732304946,31,falling
Site_2785,-174.8,-28.09,146.71,-0.3794894655219033,-1.2241595661996882,31,falling
Site_2786,-186.08,-23.85,162.23000000000002,-0.42250797610484486,-1.3629289551769188,31,falling
Site_2787,-142.05,-23.8,118.25000000000001,-0.3363799095004159,-1.0850964822594062,31,falling
Site_2788,-248.62,-72.96,175.66000000000003,-0.45722082357682536,-1.4749058825058883,31,falling
Site_2789,-149.36,-30.35,119.01000000000002,-0.3162413058671686,-1.020133244732802,31,falling
Site_279,-158.42,-31.7,126.71999999999998,-0.3543447835203012,-1.143047688775165,31,falling
Site_2790,-170.01,-58.64,111.36999999999999,-0.25899145508435234,-0.8354563067237172,31,consistent
Site_2791,-180.59,-39.0,141.59,-0.3876137034939776,-1.2503667854644438,31,falling
Site_2792,-199.84,-47.07,152.77,-0.4112449763548156,-1.32659669791876,31,falling
Site_2793,-171.96,-30.01,141.95000000000002,-0.38905079505976314,-1.2550025647089134,31,falling
Site_2794,-251.19,-65.91,185.28,-0.5041702708355652,-1.626355712372791,31,falling
Site_2795,-252.32,-73.43,178.89,-0.5290166179478933,-1.7065052191867527,31,falling
Site_2796,-198.68,-73.2,125.48,-0.3375251041969569,-1.088790658699861,31,falling
Site_2797,-174.96,-28.19,146.77,-0.42870599878585675,-1.38292257672857,31,falling
Site_2798,-191.2,-17.66,173.54,-0.5002214000397911,-1.6136174194831971,31,falling
Site_2799,-216.0,-41.57,174.43,-0.5118382154134973,-1.6510910174628946,31,falling
Site_28,-191.05,-34.37,156.68,-0.41547840814598286,-1.3402529295031707,31,falling
Site_280,-191.7,-48.47,143.23,-0.3607220861837643,-1.1636196328508526,31,falling
Site_2800,-244.11,-72.87,171.24,-0.4795183447860711,-1.5468333702776487,31,falling
Site_2801,-187.65,-35.94,151.71,-0.40203103717420946,-1.2968743134651917,31,falling
Site_2802,-175.32,-56.99,118.32999999999998,-0.3429637644562118,-1.106334724052296,31,falling
Site_2803,-210.88,-36.66,174.22,-0.4798882452569341,-1.5480265976030132,31,falling
Site_2804,-160.77,-23.7,137.07000000000002,-0.3735326135198423,-1.2049439145801364,31,falling
Site_2805,-164.93,-22.84,142.09,-0.40418085632808365,-1.30380921396156,31,falling
Site_2806,-171.85,-39.13,132.72,-0.37566595756620397,-1.2118256695683998,31,falling
Site_2807,-194.18,-68.93,125.25,-0.3348539788698266,-1.0801741253865373,31,falling
Site_2808,-225.8,-64.63,161.17000000000002,-0.4387847012850531,-1.4154345202743648,31,falling
Site_2809,-189.03,-63.57,125.46000000000001,-0.35077149875269736,-1.1315209637183787,31,falling
Site_281,-200.89,-34.82,166.07,-0.44625443442861257,-1.4395304336406856,31,falling
Site_2810,-235.19,-56.03,179.16,-0.512441866515664,-1.653038279082787,31,falling
Site_2811,-238.11,-72.65,165.46,-0.4126021206695133,-1.3309745828048818,31,falling
Site_2812,-215.85,-73.05,142.8,-0.40571557674354536,-1.3087599249791786,31,falling
