site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1154,decreasing,True,0.0,-16.88611154538581,-0.9462643678160919,-9879.0,342199.0,-0.4956177429876061,-103.91552250489235
Site_1155,decreasing,True,0.0,-16.253656383502015,-0.910823754789272,-9509.0,342197.0,-0.3993518189358928,-113.55666903661572
Site_1156,decreasing,True,0.0,-16.619483315145835,-0.9313218390804597,-9723.0,342197.0,-0.39592105263157884,-120.13368421052631
Site_1157,decreasing,True,0.0,-17.02628781049227,-0.9541187739463601,-9961.0,342199.0,-0.5131530214424952,-136.36298245614034
Site_1158,decreasing,True,0.0,-15.334005449989728,-0.8592911877394636,-8971.0,342195.0,-0.28803214147411904,-136.91168581386344
Site_1159,decreasing,True,0.0,-16.783543546527422,-0.9405172413793104,-9819.0,342199.0,-0.4644444444444443,-148.75
Site_116,decreasing,True,0.0,-17.28612674093352,-0.9686781609195402,-10113.0,342199.0,-0.5463284029208013,-146.1143549897023
Site_1160,decreasing,True,0.0,-16.993783113941124,-0.9522988505747126,-9942.0,342200.0,-0.44000000000000034,-106.86999999999999
Site_1161,decreasing,True,0.0,-16.843350268751824,-0.9438697318007663,-9854.0,342200.0,-0.4228940886699507,-164.31162561576355
Site_1162,decreasing,True,0.0,-16.253703881661355,-0.910823754789272,-9509.0,342195.0,-0.33999999999999997,-150.18
Site_1163,decreasing,True,0.0,-16.91861613214382,-0.9480842911877395,-9898.0,342198.0,-0.5250000000000001,-128.20999999999998
Site_1164,decreasing,True,0.0,-16.908359317271348,-0.9475095785440613,-9892.0,342198.0,-0.49474342105263164,-148.4484736842105
Site_1165,decreasing,True,0.0,-16.072452389323303,-0.9006704980842912,-9403.0,342197.0,-0.3910152545866832,-142.4369016697588
Site_1166,decreasing,True,0.0,-15.959627260872406,-0.8943486590038314,-9337.0,342197.0,-0.37688784067085956,-115.32407547169812
Site_1167,decreasing,True,0.0,-16.463897339464197,-0.9226053639846743,-9632.0,342198.0,-0.3545907439280932,-156.84946643717728
Site_1168,decreasing,True,0.0,-14.374926043770575,-0.8055555555555556,-8410.0,342198.0,-0.32793811998110545,-113.9784553613604
Site_1169,decreasing,True,0.0,-16.622902258432227,-0.9315134099616859,-9725.0,342197.0,-0.5122403087766403,-147.7486977680819
Site_117,decreasing,True,0.0,-16.332244351550518,-0.9152298850574713,-9555.0,342199.0,-0.3556669960474306,-143.881976284585
Site_1170,decreasing,True,0.0,-16.50834353724491,-0.925095785440613,-9658.0,342198.0,-0.40390306122448977,-134.16897959183675
