site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1143,decreasing,True,0.0,-10.577149898379249,-0.845509893455099,-2222.0,44092.0,-0.6143768996960486,-108.22243161094225
Site_1144,decreasing,True,0.0,-9.429533674981911,-0.7538051750380518,-1981.0,44091.0,-0.25703448275862084,-109.11675862068965
Site_1145,decreasing,True,0.0,-11.105895217200919,-0.8877473363774734,-2333.0,44091.0,-0.44999999999999907,-97.64000000000004
Site_1146,decreasing,True,0.0,-10.929562817100575,-0.8736681887366818,-2296.0,44092.0,-0.4320810810810807,-118.93508108108111
Site_1147,decreasing,True,0.0,-10.415230449237018,-0.832572298325723,-2188.0,44092.0,-0.3098458097928437,-88.67555084745763
Site_1148,decreasing,True,0.0,-10.124842723743205,-0.8093607305936074,-2127.0,44091.0,-0.29886392811296514,-85.18089858793326
Site_1149,decreasing,True,0.0,-11.553559947225313,-0.9235159817351598,-2427.0,44091.0,-0.5153272727272726,-100.85821818181819
Site_115,decreasing,True,0.0,-10.97254827634259,-0.8770928462709284,-2305.0,44091.0,-0.42811232063335003,-85.7079564571994
Site_1150,decreasing,True,3.3306690738754696e-15,-7.877411182482614,-0.6297564687975646,-1655.0,44086.333333333336,-0.3108712121212124,-67.71863636363635
Site_1151,decreasing,True,0.0,-10.85361159035649,-0.867579908675799,-2280.0,44090.0,-0.4142001130582249,-130.8687959299039
Site_1152,decreasing,True,0.0,-11.224827694948173,-0.8972602739726028,-2358.0,44092.0,-0.4237268518518524,-124.6358333333333
Site_1153,decreasing,True,0.0,-10.443804469673884,-0.834855403348554,-2194.0,44092.0,-0.3254299754299754,-83.09452088452089
Site_1154,decreasing,True,0.0,-9.310368325678267,-0.7442922374429224,-1956.0,44092.0,-0.26983870967741913,-79.21580645161292
Site_1155,decreasing,True,0.0,-11.424845838006222,-0.91324200913242,-2400.0,44092.0,-0.4469374999999999,-85.60025
Site_1156,decreasing,True,0.0,-10.767643367958344,-0.860730593607306,-2262.0,44092.0,-0.3416666666666662,-94.04000000000002
Site_1157,decreasing,True,0.0,-11.205778347990263,-0.895738203957382,-2354.0,44092.0,-0.43322599085365865,-101.35386432926829
Site_1158,decreasing,True,0.0,-10.043995982475575,-0.8028919330289194,-2110.0,44090.0,-0.3345977749251176,-93.84448010269577
Site_1159,decreasing,True,0.0,-11.624863981064271,-0.9292237442922374,-2442.0,44092.0,-0.5101282051282052,-123.8253846153846
Site_116,decreasing,True,0.0,-11.210667813589607,-0.8961187214611872,-2355.0,44091.0,-0.38909090909090854,-123.34272727272729
Site_1160,decreasing,True,0.0,-10.067694034803921,-0.8047945205479452,-2115.0,44091.0,-0.2808166666666665,-95.95060000000001
Site_1161,decreasing,True,0.0,-10.853365429268937,-0.867579908675799,-2280.0,44092.0,-0.39092665173572216,-135.206640537514
Site_1162,decreasing,True,0.0,-9.672305917878548,-0.7732115677321156,-2032.0,44092.0,-0.30633022774327145,-119.54211180124221
Site_1163,decreasing,True,0.0,-10.348792446618978,-0.8272450532724506,-2174.0,44090.0,-0.392554347826087,-109.55804347826087
Site_1164,decreasing,True,0.0,-11.329599103216674,-0.9056316590563166,-2380.0,44092.0,-0.4968693284936482,-127.59270417422866
Site_1165,decreasing,True,0.0,-9.034630916971672,-0.7222222222222222,-1898.0,44087.333333333336,-0.34938644688644704,-121.1720879120879
Site_1166,decreasing,True,0.0,-10.04864447182416,-0.8032724505327246,-2111.0,44091.0,-0.2678281068524971,-96.8181881533101
